Last_promotion_gsp,Years@Current Mangers,Education,EducationField,Employee_ID,Env_Satisfaction,Gender,HourlyRate,Job_Involvement,JobLevel,JobRole,Job satisfac,Marital Status,Monthly Income,Company Changed,18Yrs,Over Time,PercentSalaryHike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Training time spent,Work LifeBalance,Years @company,Years@Current role,BusinessTravel,Dept,Travel_distance,Attrition
0,2,Master,Human Resources,133,3,Male,63,3,1,Human Resources,1,Divorced,2073,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,Travel_Rarely,Human Resources,6,Yes
2,2,Master,Human Resources,140,3,Female,32,2,5,Manager,4,Married,18844,9,Y,No,21,4,4,80,1,30,3,3,3,2,Non-Travel,Human Resources,2,No
4,4,Bachelor,Human Resources,148,4,Female,30,4,4,Manager,4,Single,17328,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,Non-Travel,Human Resources,26,No
4,7,Bachelor,Human Resources,184,3,Male,48,3,2,Human Resources,4,Married,6347,0,Y,Yes,19,3,4,80,0,12,2,1,11,9,Travel_Rarely,Human Resources,9,No
1,0,Bachelor,Human Resources,424,1,Male,62,2,2,Human Resources,1,Married,6410,3,Y,No,12,3,4,80,0,9,1,3,2,2,Travel_Rarely,Human Resources,2,No
0,2,Bachelor,Human Resources,590,2,Female,43,3,3,Human Resources,1,Divorced,9950,9,Y,Yes,15,3,3,80,3,11,2,3,3,2,Travel_Frequently,Human Resources,23,Yes
12,6,Master,Human Resources,731,2,Male,73,2,5,Manager,4,Divorced,19141,3,Y,No,15,3,2,80,3,23,2,2,21,6,Travel_Rarely,Human Resources,10,No
2,10,Bachelor,Human Resources,734,4,Male,59,2,5,Manager,3,Married,19189,1,Y,No,12,3,2,80,1,22,3,3,22,7,Travel_Rarely,Human Resources,1,No
3,6,Bachelor,Human Resources,760,3,Female,44,4,2,Human Resources,2,Married,6389,9,Y,No,15,3,3,80,1,12,3,1,8,3,Travel_Rarely,Human Resources,3,No
0,4,Bachelor,Human Resources,829,3,Male,36,3,1,Human Resources,2,Married,2143,4,Y,No,13,3,2,80,1,8,2,3,5,2,Travel_Rarely,Human Resources,13,No
0,2,College,Human Resources,847,3,Male,88,3,1,Human Resources,4,Married,3737,0,Y,No,19,3,3,80,1,4,1,1,3,2,Travel_Rarely,Human Resources,3,No
0,3,College,Human Resources,910,4,Male,57,3,1,Human Resources,2,Divorced,2277,3,Y,Yes,11,3,3,80,1,7,4,4,4,3,Travel_Rarely,Human Resources,3,No
5,0,Bachelor,Human Resources,1152,3,Male,37,4,1,Human Resources,3,Married,2844,1,Y,No,13,3,4,80,1,7,2,4,7,6,Travel_Rarely,Human Resources,1,No
1,4,Bachelor,Human Resources,1207,2,Male,99,3,1,Human Resources,3,Married,3600,1,Y,No,13,3,4,80,1,5,2,3,5,4,Travel_Rarely,Human Resources,2,No
0,9,Bachelor,Human Resources,1408,3,Female,31,3,4,Manager,1,Married,16799,0,Y,No,14,3,3,80,1,21,5,3,20,7,Travel_Rarely,Human Resources,10,No
1,2,Master,Human Resources,1563,3,Male,71,3,2,Human Resources,3,Married,6077,3,Y,No,11,3,3,80,0,10,2,3,6,3,Travel_Frequently,Human Resources,10,No
0,2,Phd,Human Resources,1642,1,Male,37,3,2,Human Resources,4,Married,5743,4,Y,Yes,11,3,3,80,0,14,3,3,10,7,Travel_Frequently,Human Resources,1,No
0,0,Below College,Human Resources,1714,4,Male,58,1,1,Human Resources,3,Married,1555,1,Y,No,11,3,3,80,1,1,2,3,1,0,Travel_Rarely,Human Resources,22,Yes
1,2,Bachelor,Human Resources,1722,3,Male,60,1,2,Human Resources,2,Married,6430,6,Y,No,19,3,2,80,1,10,4,3,3,2,Non-Travel,Human Resources,4,No
1,2,Bachelor,Human Resources,1747,3,Female,66,2,1,Human Resources,4,Divorced,2180,6,Y,No,11,3,3,80,1,6,0,2,4,2,Travel_Frequently,Human Resources,8,Yes
3,8,Bachelor,Human Resources,1805,1,Male,100,3,1,Human Resources,2,Divorced,2592,5,Y,No,13,3,4,80,3,13,3,3,11,10,Non-Travel,Human Resources,2,No
0,0,Phd,Human Resources,1842,4,Male,89,4,1,Human Resources,1,Married,2956,0,Y,No,17,3,3,80,0,2,4,3,1,0,Travel_Rarely,Human Resources,18,Yes
